method,k,seed,inertia,iterations,silhouette,runtime
gonzalez,3,26,374.4336283929615,9,0.40168103855900394,0.002014575991779566
gonzalez,3,27,374.6215987694203,10,0.4068540036934784,0.002893249999033287
gonzalez,3,28,374.6215987694203,10,0.4068540036934784,0.0028910709952469915
gonzalez,3,29,374.5499431202966,11,0.4063070015391998,0.0026524020067881793
gonzalez,5,0,253.90039154257914,13,0.3718629762260317,0.0029896229971200228
gonzalez,5,1,249.07917392911503,13,0.33240145795447584,0.0037416929990286008
gonzalez,5,2,244.12016938353418,14,0.3360734627567799,0.0035214539966546
gonzalez,5,3,250.57286916903954,11,0.33717908880245906,0.0028821519954362884
gonzalez,5,4,250.71868454344394,19,0.340976784362907,0.0037549779954133555
gonzalez,5,5,243.0641896934802,25,0.3476964353007722,0.005138207008712925
gonzalez,5,6,247.00453291430043,15,0.3177858237501923,0.003867960986099206
gonzalez,5,7,245.17762534127144,11,0.35182369763333604,0.0023941410036059096
gonzalez,5,8,253.90039154257914,12,0.3718629762260317,0.002484375989297405
gonzalez,5,9,245.55350337227284,12,0.3378256276139928,0.002462091011693701
gonzalez,5,10,245.16997588398868,9,0.3519309819539512,0.002342769003007561
gonzalez,5,11,245.31022304670407,13,0.34646164271471563,0.003116723004495725
gonzalez,5,12,250.57286916903954,12,0.33717908880245906,0.002685937986825593
gonzalez,5,13,246.14584198865583,9,0.3335847888221586,0.0019621889950940385
gonzalez,5,14,245.22730878723777,12,0.34714223493133217,0.0025534699962008744
gonzalez,5,15,246.98330141862726,13,0.3177465142372365,0.0028082929929951206
gonzalez,5,16,245.42205010834104,26,0.3403175929163968,0.006416103002266027
gonzalez,5,17,249.06519169273395,11,0.3325587966209697,0.0026825779932551086
gonzalez,5,18,250.51465769103459,14,0.3357407554544154,0.0032148309983313084
gonzalez,5,19,244.75956486314777,11,0.344643081367721,0.002928132002125494
gonzalez,5,20,253.90039154257914,11,0.3718629762260317,0.0026813570002559572
gonzalez,5,21,247.27640429676703,22,0.3199036334744221,0.005103137998958118
gonzalez,5,22,244.4243414023331,9,0.3336266176396009,0.003612550994148478
gonzalez,5,23,245.11092893284115,9,0.35327500410006013,0.0020647899946197867
gonzalez,5,24,250.51465769103459,14,0.3357407554544154,0.0045867449953220785
gonzalez,5,25,246.09536359149445,11,0.3286339902314963,0.004149799991864711
gonzalez,5,26,248.7308678193377,7,0.33868210321224207,0.0017748059908626601
